commit	timestamp	description	ssim_avg	psnr_avg	video_bytes_ratio_avg	composite_score	status
094567b	2026-04-05T13:01:19.286715+00:00	loop178 discard: set global overquant_penalty to 10 atop chroma scaling and ac deadzone 5	0.974288	35.2891	1.022607	0.957674	discard
094567b	2026-04-05T13:01:56.384300+00:00	loop179 discard: set global overquant_penalty to 100 atop chroma scaling and ac deadzone 5	0.974289	35.2891	1.022608	0.957674	discard
ba8f8db	2026-04-05T13:03:08.346667+00:00	loop180 keep: raise global chroma error weight to 120 atop chroma scaling and ac deadzone 5	0.974288	35.2896	1.022613	0.957675	keep
ba8f8db	2026-04-05T13:03:52.134657+00:00	loop181 discard: raise global chroma error weight to 140 atop chroma scaling and ac deadzone 5	0.974280	35.2898	1.022654	0.957658	discard
ba8f8db	2026-04-05T13:04:44.936972+00:00	loop182 discard: raise global chroma error weight to 130 atop chroma scaling and ac deadzone 5	0.974224	35.2887	1.022610	0.957613	discard
ba8f8db	2026-04-05T13:05:31.467737+00:00	loop183 discard: raise global luma error weight to 150 atop chroma scaling and ac deadzone 5	0.974290	35.2887	1.022608	0.957672	discard
738bfe6	2026-04-05T13:06:09.941162+00:00	loop184 keep: lower proxy chroma quant scale to 108 atop standard 120 lt 130 hq 110 and ac deadzone 5	0.974441	35.4696	1.023435	0.957745	keep
738bfe6	2026-04-05T13:06:49.870837+00:00	loop185 discard: lower proxy chroma quant scale to 107 atop the new chroma-scaling stack	0.974442	35.5216	1.023511	0.957729	discard
738bfe6	2026-04-05T13:16:56.701728+00:00	loop186 discard: partially unwind lt lower-half luma restraint under chroma-scaled stack	0.974437	35.4689	1.024255	0.957604	discard
47fbcc6	2026-04-05T13:18:55.610850+00:00	loop187 keep: soften lt lower-right luma tail under the chroma-scaled stack	0.974441	35.4696	1.023501	0.957748	keep
47fbcc6	2026-04-05T13:19:49.547266+00:00	loop188 discard: trim proxy standard and hq 1080p br_tab tails under the chroma-scaled stack	0.974425	35.4642	1.020992	0.957499	discard
47fbcc6	2026-04-05T13:20:34.612370+00:00	loop189 discard: trim only the proxy 1080p br_tab tail under the chroma-scaled stack	0.974434	35.4682	1.022916	0.957695	discard
47fbcc6	2026-04-05T13:21:19.100953+00:00	loop190 discard: raise lt chroma quant scale to 132 atop the tail-softened lt luma keep	0.973966	35.1987	1.022438	0.957357	discard
3d74db0	2026-04-05T13:22:51.793395+00:00	loop191 keep: firm proxy luma 3x3 low-frequency corner under the chroma-scaled stack	0.974416	35.4744	1.020844	0.957998	keep
096b153	2026-04-05T13:23:47.312641+00:00	loop192 keep: lower proxy chroma quant scale to 107 atop the firmer proxy luma corner	0.974430	35.5272	1.020857	0.958024	keep
096b153	2026-04-05T13:24:25.163315+00:00	loop193 discard: lower proxy chroma quant scale to 106 atop the firmer proxy luma corner	0.974433	35.5399	1.021101	0.957982	discard
096b153	2026-04-05T13:25:29.234505+00:00	loop194 discard: firm lt low-frequency core atop the tail-softened lt luma keep	0.974108	35.3534	1.018617	0.957780	discard
ef3975f	2026-04-05T13:26:44.671629+00:00	loop195 keep: firm proxy top-left 2x2 core atop the firmer 3x3 corner and proxy chroma 107	0.974437	35.5204	1.019374	0.958130	keep
755bf70	2026-04-05T13:27:51.963206+00:00	loop196 keep: extend the firmer proxy luma core into the third-row leading edge	0.974434	35.5202	1.019116	0.958163	keep
755bf70	2026-04-05T13:28:38.573205+00:00	loop197 discard: extend the firmer proxy low-frequency ridge diagonally into the next band	0.974431	35.5195	1.018925	0.958153	discard
755bf70	2026-04-05T13:29:30.523323+00:00	loop198 discard: lower proxy chroma quant scale to 106 atop the stronger proxy core	0.974441	35.5507	1.019348	0.958129	discard
114d26b	2026-04-05T13:30:34.007019+00:00	loop199 keep: firm the proxy row-4 leading luma coefficient atop the stronger proxy core	0.974432	35.5198	1.019007	0.958177	keep
114d26b	2026-04-05T13:31:23.795498+00:00	loop200 discard: firm the proxy row-4 second luma coefficient atop the stronger proxy core	0.974431	35.5196	1.018924	0.958155	discard
